ID;band;status;word;Pos;COCA-All;COCA-Acad;ratio;disp;range;
19089;39;r;write-off;n;437;139;1.11;0.75;5;Fin
19187;39;r;high-priced;j;712;137;0.67;0.84;9;Fin
19277;39;r;exec;n;1 243;136;0.38;0.80;5;Fin
19348;39;r;year-end;n;269;135;1.76;0.74;3;Fin
19390;39;r;consultancy;n;293;134;1.60;0.86;9;Fin
19425;39;r;after-tax;j;359;133;1.30;0.76;3;Fin
19430;39;r;closed-end;j;203;133;2.29;0.66;2;Fin
19548;40;r;underwriting;n;460;132;1.00;0.81;6;Fin
19641;40;r;home-equity;j;262;130;1.74;0.68;1;Fin
19895;40;r;multimillion-dollar;j;970;126;0.45;0.86;6;Fin
20034;41;r;small-cap;j;237;124;1.83;0.66;1;Fin
20134;41;r;tycoon;n;742;123;0.58;0.83;7;Fin
20176;41;r;tax-deferred;j;304;122;1.41;0.69;1;Fin
20287;41;r;winery;n;2 150;121;0.20;0.77;7;Fin
20696;42;r;discounted;j;433;115;0.93;0.86;8;Fin
20772;42;r;overvalue;v;269;115;1.50;0.83;7;Fin
20791;42;r;one-stop;j;457;114;0.87;0.83;8;Fin
20792;42;r;overpriced;j;547;114;0.73;0.79;7;Fin
