articles, model: LinearSVC(
mean_test_score	split7_test_score	split7_train_score	param_penalty	mean_score_time	split4_train_score	split3_test_score	param_loss	split0_test_score	split1_test_score	split9_train_score	split9_test_score	split0_train_score	split5_train_score	split6_train_score	split1_train_score	split8_test_score	split2_test_score	split8_train_score	std_test_score	split5_test_score	mean_train_score	params	std_fit_time	mean_fit_time	param_dual	std_train_score	split3_train_score	rank_test_score	split6_test_score	split2_train_score	param_C	std_score_time	split4_test_score	
0.445728784889	0.471751412429	0.990604447228	l2	0.0036062002182	0.989351706859	0.429378531073	squared_hinge	0.411764705882	0.484593837535	0.989664891951	0.468926553672	0.98934169279	0.991857187598	0.991857187598	0.98934169279	0.437853107345	0.439436619718	0.990604447228	0.0263307368338	0.477401129944	0.990194980013	{'penalty': 'l2', 'dual': True, 'C': 9, 'loss': 'squared_hinge'}	2.44851711926	19.6333412409	True	0.000942068250835	0.989664891951	14	0.426553672316	0.989661654135	9	0.00104531238772	0.409604519774	
0.393572032704	0.412429378531	0.989351706859	l1	0.00320320129395	0.98684622612	0.398305084746	squared_hinge	0.372549019608	0.425770308123	0.987785781397	0.423728813559	0.988401253918	0.990291262136	0.991857187598	0.987774294671	0.423728813559	0.383098591549	0.989351706859	0.0281089906217	0.398305084746	0.988785362414	{'penalty': 'l1', 'dual': False, 'C': 7, 'loss': 'squared_hinge'}	8.78360668478	33.9259745359	False	0.00138643268966	0.988098966489	25	0.35593220339	0.988095238095	7	0.000979963355116	0.341807909605	
0.458979419228	0.466101694915	0.950829940495	l2	0.00360069274902	0.946132164109	0.485875706215	hinge	0.439775910364	0.46218487395	0.947698089571	0.491525423729	0.946394984326	0.947384904479	0.951143125587	0.945768025078	0.45197740113	0.447887323944	0.949577200125	0.0251706317761	0.497175141243	0.948375404854	{'penalty': 'l2', 'dual': True, 'C': 1, 'loss': 'hinge'}	5.05283583324	16.0728814363	True	0.00188880829843	0.948637644848	1	0.426553672316	0.950187969925	1	0.00203760365945	0.420903954802	
0.0	0.0	0.0	l1	0.0	0.0	0.0	hinge	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	{'penalty': 'l1', 'dual': True, 'C': 3, 'loss': 'hinge'}	0.0205722918096	0.0390780210495	True	0.0	0.0	27	0.0	0.0	3	0.0	0.0	
0.397519030166	0.412429378531	0.990917632321	l1	0.0030021905899	0.989978077044	0.389830508475	squared_hinge	0.352941176471	0.43137254902	0.991230817413	0.460451977401	0.989968652038	0.991544002505	0.99342311306	0.989028213166	0.378531073446	0.402816901408	0.990917632321	0.0319784557819	0.412429378531	0.990978031066	{'penalty': 'l1', 'dual': False, 'C': 9, 'loss': 'squared_hinge'}	5.19903403514	32.1351653099	False	0.00112123697157	0.991230817413	22	0.381355932203	0.991541353383	9	0.000866708231872	0.353107344633	
0.396391316606	0.412429378531	0.989038521766	l1	0.00310618877411	0.986219855935	0.38418079096	squared_hinge	0.36974789916	0.43137254902	0.988098966489	0.429378531073	0.987774294671	0.990291262136	0.991230817413	0.987460815047	0.401129943503	0.394366197183	0.989038521766	0.024465943236	0.409604519774	0.988753975169	{'penalty': 'l1', 'dual': False, 'C': 7, 'loss': 'squared_hinge'}	4.22631547795	29.0172935247	False	0.0013774458331	0.989664891951	24	0.381355932203	0.988721804511	7	0.000860936838088	0.350282485876	
0.0	0.0	0.0	l1	0.0	0.0	0.0	hinge	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	{'penalty': 'l1', 'dual': True, 'C': 1, 'loss': 'hinge'}	0.00260049081878	0.0288238286972	True	0.0	0.0	27	0.0	0.0	1	0.0	0.0	
0.0	0.0	0.0	l1	0.0	0.0	0.0	squared_hinge	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	{'penalty': 'l1', 'dual': True, 'C': 3, 'loss': 'squared_hinge'}	0.00310341934176	0.0280217885971	True	0.0	0.0	27	0.0	0.0	3	0.0	0.0	
0.449111925571	0.468926553672	0.978703413718	l2	0.00230226516724	0.975258377701	0.443502824859	hinge	0.422969187675	0.481792717087	0.974945192609	0.491525423729	0.973667711599	0.976197932978	0.97901659881	0.974921630094	0.429378531073	0.433802816901	0.975884747886	0.0284440151711	0.485875706215	0.975879142457	{'penalty': 'l2', 'dual': True, 'C': 5, 'loss': 'hinge'}	0.586164965369	14.892935729	True	0.0016203074229	0.974945192609	7	0.420903954802	0.975250626566	5	0.000458507321233	0.412429378531	
0.453058923034	0.477401129944	0.984653930473	l2	0.00260231494904	0.983088005011	0.45197740113	squared_hinge	0.422969187675	0.49299719888	0.982461634826	0.497175141243	0.981504702194	0.982774819919	0.98559348575	0.98275862069	0.440677966102	0.445070422535	0.983714375196	0.0310365768927	0.480225988701	0.983303356904	{'penalty': 'l2', 'dual': False, 'C': 3, 'loss': 'squared_hinge'}	0.618411860781	9.53569648266	False	0.00108897899903	0.983088005011	4	0.418079096045	0.983395989975	3	0.000491919440234	0.40395480226	
