articles, LinearSVC(, window=1800, margin=0.004
43 - threshold: 0.5031451573690884, score: 0.428055223999 (+/- 0.03947350027), precision: 0.404998820983, recall: 0.414208911904, ~n_attr: 47495
44 - threshold: 2.9301160731475773, score: 0.416221055144 (+/- 0.0314598285848), precision: 0.393099366988, recall: 0.399692989281, ~n_attr: 4706
45 - threshold: 3.3405309636638543, score: 0.422142913981 (+/- 0.0320915284175), precision: 0.398648022657, recall: 0.405910030128, ~n_attr: 3649
46 - threshold: 3.7949381332565753, score: 0.423542611602 (+/- 0.0352411296529), precision: 0.400776136032, recall: 0.410013653664, ~n_attr: 2779
47 - threshold: 3.5011120172488592, score: 0.420731280337 (+/- 0.0302534319335), precision: 0.398287465996, recall: 0.405884651175, ~n_attr: 3312
48 - threshold: 3.4436875524333987, score: 0.420163921381 (+/- 0.0330529183437), precision: 0.396382604941, recall: 0.404100446356, ~n_attr: 3438
49 - threshold: 2.888753601244778, score: 0.421573963555 (+/- 0.032747972175), precision: 0.398251575662, recall: 0.404985233932, ~n_attr: 4849

articles, LinearSVC(, window=1800, margin=0.004
0 - threshold: 2.450865827242616, score: 0.423552956155 (+/- 0.0300987393255), precision: 0.437424049613, recall: 0.423552956155, ~n_attr: 6637
1 - threshold: 2.399925825324021, score: 0.418477759211 (+/- 0.0341769930073), precision: 0.432656657414, recall: 0.418477759211, ~n_attr: 6928
2 - threshold: 1.6861864658669072, score: 0.43003103366 (+/- 0.0333252222715), precision: 0.441985004695, recall: 0.43003103366, ~n_attr: 12709
3 - threshold: 0.34040263277298877, score: 0.42664597756 (+/- 0.0402609219893), precision: 0.436016126065, recall: 0.42664597756, ~n_attr: 55090
4 - threshold: 0.4906245705299992, score: 0.428337709875 (+/- 0.0397137086975), precision: 0.437684323979, recall: 0.428337709875, ~n_attr: 47967
5 - threshold: 2.9090447896665363, score: 0.417911991724 (+/- 0.0300888000252), precision: 0.431792125082, recall: 0.417911991724, ~n_attr: 4774
6 - threshold: 1.6566556130268677, score: 0.429749343519 (+/- 0.0355169887107), precision: 0.439891243642, recall: 0.429749343519, ~n_attr: 13066
7 - threshold: 2.6718111682053403, score: 0.418476963476 (+/- 0.0324054799503), precision: 0.431974590864, recall: 0.418476963476, ~n_attr: 5631
8 - threshold: 2.988372740378756, score: 0.419043526697 (+/- 0.0312523305733), precision: 0.433206610531, recall: 0.419043526697, ~n_attr: 4539
9 - threshold: 2.913907531763946, score: 0.416784435426 (+/- 0.0282728580522), precision: 0.431040847305, recall: 0.416784435426, ~n_attr: 4759
10 - threshold: 2.6559772261928285, score: 0.418476167741 (+/- 0.0328579583812), precision: 0.431847656815, recall: 0.418476167741, ~n_attr: 5690
11 - threshold: 0.3407313153092595, score: 0.426928463436 (+/- 0.0398308502949), precision: 0.436441438416, recall: 0.426928463436, ~n_attr: 55089
12 - threshold: 1.2755383012644779, score: 0.42664597756 (+/- 0.0352791649493), precision: 0.436503333231, recall: 0.42664597756, ~n_attr: 19269
